book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
273,1103,1103,1453585,105,812968069,9780812968060.0,Lisa See,2005.0,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng,4.05,280475,290660,15807,3268,11286,56005,116178,103923,https://images.gr-assets.com/books/1327880508m/1103.jpg,https://images.gr-assets.com/books/1327880508s/1103.jpg,0
359,16115612,16115612,21933087,135,159463176X,9781594631760.0,Khaled Hosseini,2012.0,And The Mountains Echoed,And the Mountains Echoed,eng,4.03,199326,229116,24084,2049,9146,45985,93953,77983,https://images.gr-assets.com/books/1358190204m/16115612.jpg,https://images.gr-assets.com/books/1358190204s/16115612.jpg,0
378,33917,33917,16171,93,618485228,9780618485220.0,Jhumpa Lahiri,2003.0,The Namesake,The Namesake,en-US,3.96,184211,192903,9824,1926,8889,42552,81043,58493,https://images.gr-assets.com/books/1480106986m/33917.jpg,https://images.gr-assets.com/books/1480106986s/33917.jpg,0
380,11297,11297,2956680,232,375704027,9780375704020.0,"Haruki Murakami, Jay Rubin",1987.0,ノルウェイの森 [Noruwei no Mori],Norwegian Wood,eng,4.02,183988,217817,12522,2927,10416,41293,87041,76140,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
396,3367956,3367956,3407295,69,345505336,9780345505330.0,Jamie Ford,2009.0,Hotel on the Corner of Bitter and Sweet,Hotel on the Corner of Bitter and Sweet,eng,3.98,197294,211336,18120,2345,9368,44408,88468,66747,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
403,10534,10534,3200649,1865,1590302257,9781590302260.0,"Sun Tzu, Thomas Cleary",-500.0,孫子兵法 [Sūnzi bīngfǎ],The Art of War,eng,3.95,167332,203948,6335,2930,11589,48265,70644,70520,https://images.gr-assets.com/books/1453417993m/10534.jpg,https://images.gr-assets.com/books/1453417993s/10534.jpg,0
430,4929,4929,6191072,157,1400079276,9781400079280.0,"Haruki Murakami, Philip Gabriel",2002.0,海辺のカフカ [Umibe no Kafuka],Kafka on the Shore,en-US,4.13,167593,195365,13279,2593,7557,30809,75564,78842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
436,9777,9777,810135,168,679457313,9780679457310.0,Arundhati Roy,1997.0,The God of Small Things,The God of Small Things,eng,3.91,165378,182127,9294,5833,12631,37349,61880,64434,https://images.gr-assets.com/books/1436217001m/9777.jpg,https://images.gr-assets.com/books/1436217001s/9777.jpg,0
461,1078,1078,2346070,210,1416500189,9781416500190.0,Pearl S. Buck,1931.0,The Good Earth,"The Good Earth (House of Earth, #1)",eng,3.97,182220,193405,8259,5262,11487,38413,67056,71187,https://images.gr-assets.com/books/1312497600m/1078.jpg,https://images.gr-assets.com/books/1312497600s/1078.jpg,0
470,17851885,17851885,24987300,129,316322407,9780316322410.0,"Malala Yousafzai, Christina Lamb",2012.0,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng,4.06,214412,227850,14667,7433,9470,38518,77944,94485,https://images.gr-assets.com/books/1375414895m/17851885.jpg,https://images.gr-assets.com/books/1375414895s/17851885.jpg,0
520,11275,11275,2531376,125,965341984,9780965341980.0,"Haruki Murakami, Jay Rubin",1994.0,ねじまき鳥クロニクル [Nejimakidori kuronikuru],The Wind-Up Bird Chronicle,eng,4.17,133408,159705,10724,2022,6154,23828,57956,69745,https://images.gr-assets.com/books/1327872639m/11275.jpg,https://images.gr-assets.com/books/1327872639s/11275.jpg,0
649,10357575,10357575,18160093,107,307593312,9780307593310.0,"Haruki Murakami, Jay Rubin, Philip Gabriel",2009.0,いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],1Q84,eng,3.89,125195,138691,13779,3934,9901,28881,51416,44559,https://images.gr-assets.com/books/1483103331m/10357575.jpg,https://images.gr-assets.com/books/1483103331s/10357575.jpg,0
657,1768603,1768603,1766737,104,1416562591,9781416562600.0,Aravind Adiga,2008.0,The White Tiger,The White Tiger,eng,3.71,114531,125632,8334,2934,9631,34919,51398,26750,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
662,5439,5439,3301398,83,618101365,9780618101370.0,Jhumpa Lahiri,1999.0,Interpreter of Maladies,Interpreter of Maladies,eng,4.12,110651,125062,8145,860,4045,21705,50880,47572,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
723,33600,33600,3174890,101,192076920X,9781920769210.0,Gregory David Roberts,2003.0,Shantaram,Shantaram,eng,4.26,95213,111838,10295,2188,4308,13378,34106,57858,https://images.gr-assets.com/books/1333482282m/33600.jpg,https://images.gr-assets.com/books/1333482282s/33600.jpg,0
825,5960325,5960325,5991850,52,1400067111,9781400067110.0,Lisa See,2009.0,Shanghai Girls,Shanghai Girls (Shanghai Girls #1),eng,3.87,106729,114862,8654,1334,5638,28727,49667,29496,https://images.gr-assets.com/books/1327968416m/5960325.jpg,https://images.gr-assets.com/books/1327968416s/5960325.jpg,0
828,9516,9516,3303888,39,037571457X,9780375714570.0,"Marjane Satrapi, Mattias Ripa",2000.0,Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",eng,4.23,117103,119965,6588,1138,3121,16734,45474,53498,https://images.gr-assets.com/books/1425871473m/9516.jpg,https://images.gr-assets.com/books/1425871473s/9516.jpg,0
848,12555,12555,1898187,79,345457374,9780345457370.0,Amy Tan,2001.0,The Bonesetter's Daughter,The Bonesetter's Daughter,en-US,3.98,99926,105274,2871,730,3502,23935,46287,30820,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
916,7603,7603,903067,69,812971060,9780812971060.0,Azar Nafisi,2003.0,Reading Lolita in Tehran: A Memoir in Books,Reading Lolita in Tehran,eng,3.57,94696,98413,6576,4270,10670,28610,34061,20802,https://images.gr-assets.com/books/1397751318m/7603.jpg,https://images.gr-assets.com/books/1397751318s/7603.jpg,0
920,22318578,22318578,41711738,94,1607747308,9781607747310.0,"Marie Kondō, Cathy Hirano",2011.0,人生がときめく片づけの魔法,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,eng,3.77,105063,129409,17320,3885,10846,32775,44967,36936,https://images.gr-assets.com/books/1418767178m/22318578.jpg,https://images.gr-assets.com/books/1418767178s/22318578.jpg,0
1055,14836,14836,1024288,152,99578514,9780099578510.0,Salman Rushdie,1981.0,Midnight's Children,Midnight's Children,eng,3.99,75502,84514,4917,2533,5417,15365,28241,32958,https://images.gr-assets.com/books/1371063511m/14836.jpg,https://images.gr-assets.com/books/1371063511s/14836.jpg,0
1082,19288239,19288239,24593525,123,385352107,9780385352110.0,"Haruki Murakami, Philip Gabriel",2013.0,"色彩を持たない多崎つくると、彼の巡礼の年 [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]",Colorless Tsukuru Tazaki and His Years of Pilgrimage,eng,3.82,67873,86134,8264,1343,5021,22170,37193,20407,https://images.gr-assets.com/books/1409000450m/19288239.jpg,https://images.gr-assets.com/books/1409000450s/19288239.jpg,0
1085,105576,105576,101768,20,8129104598,9788129104600.0,Chetan Bhagat,2004.0,Five Point Someone: What Not to Do at IIT,Five Point Someone,en-GB,3.43,67438,69052,1786,3290,8985,22960,22478,11339,https://images.gr-assets.com/books/1298571209m/105576.jpg,https://images.gr-assets.com/books/1298571209s/105576.jpg,0
1099,57854,67896,100074,1265,679776192,9780679776190.0,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",-300.0,道德經 [dào dé jīng],Tao Te Ching,eng,4.31,39863,80961,3165,903,2332,10967,22924,43835,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1125,6969361,6969361,7208552,21,8129115301,9788129115300.0,Chetan Bhagat,2009.0,Two States,2 States: The Story of My Marriage,eng,3.42,67866,69282,2421,3590,9682,22345,21176,12489,https://images.gr-assets.com/books/1255292027m/6969361.jpg,https://images.gr-assets.com/books/1255292027s/6969361.jpg,0
1180,6642715,6642715,19051480,85,670021458,9780670021450.0,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",2010.0,The Forty Rules of Love,The Forty Rules of Love,eng,4.17,35283,73274,10114,2119,3582,10129,21560,35884,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1205,10374,10374,2531870,120,,,"Haruki Murakami, Alfred Birnbaum",1985.0,世界の終りとハードボイルド・ワンダーランド [Sekai no owari to hādoboirudo wandārando],Hard-Boiled Wonderland and the End of the World,eng,4.15,63764,77432,4406,537,2571,12766,30321,31237,https://images.gr-assets.com/books/1399844477m/10374.jpg,https://images.gr-assets.com/books/1399844477s/10374.jpg,0
1242,17262100,17262100,23858897,65,307265749,9780307265750.0,Jhumpa Lahiri,2013.0,The Lowland,The Lowland,eng,3.82,62231,69268,7249,1356,4113,16972,30069,16758,https://images.gr-assets.com/books/1366930267m/17262100.jpg,https://images.gr-assets.com/books/1366930267s/17262100.jpg,0
1252,11869272,11869272,16826575,59,1400067553,9781400067560.0,Katherine Boo,2012.0,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity","Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",en-US,3.97,69596,77078,9324,1447,4028,15165,30994,25444,https://images.gr-assets.com/books/1315601232m/11869272.jpg,https://images.gr-assets.com/books/1315601232s/11869272.jpg,0
1270,9557,9557,1813695,124,99448475,9780099448470.0,"Haruki Murakami, Philip Gabriel",1999.0,スプートニクの恋人 [Supūtoniku no Koibito],Sputnik Sweetheart,eng,3.82,62229,75465,4207,657,4218,21129,31826,17635,https://images.gr-assets.com/books/1486764070m/9557.jpg,https://images.gr-assets.com/books/1486764070s/9557.jpg,0
1282,17803,17803,3070852,127,307265838,9780307265840.0,"Haruki Murakami, Jay Rubin",2004.0,アフターダーク [Afutā dāku],After Dark,eng,3.68,64278,76692,5322,926,5833,24947,30379,14607,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1310,85301,85301,4345835,69,676979343,9780676979340.0,Jhumpa Lahiri,2008.0,Unaccustomed Earth,Unaccustomed Earth,eng,4.11,60126,67585,6978,442,2284,11807,27840,25212,https://images.gr-assets.com/books/1320398140m/85301.jpg,https://images.gr-assets.com/books/1320398140s/85301.jpg,0
1321,1237398,1237398,361124,46,1569319014,9781569319020.0,"Eiichirō Oda, Andy Nakatani",1997.0,"One Piece, Volume 01","One Piece, Volume 01: Romance Dawn (One Piece, #1)",eng,4.42,67047,67703,776,1561,2018,6936,13269,43919,https://images.gr-assets.com/books/1318523719m/1237398.jpg,https://images.gr-assets.com/books/1318523719s/1237398.jpg,0
1327,77270,77270,17441265,1306,812504690,9780812504700.0,Rudyard Kipling,1894.0,The Jungle Book,The Jungle Book,eng,3.94,67107,81305,2330,1096,4323,20388,27903,27595,https://images.gr-assets.com/books/1327873594m/77270.jpg,https://images.gr-assets.com/books/1327873594s/77270.jpg,0
1384,38210,38210,1651617,94,1573221112,9781573221120.0,"Dalai Lama XIV, Howard C. Cutler",1998.0,The Art of Happiness: A Handbook for Living,The Art of Happiness,eng,4.14,61498,64415,1811,895,2240,11259,22402,27619,https://images.gr-assets.com/books/1309287434m/38210.jpg,https://images.gr-assets.com/books/1309287434s/38210.jpg,0
1462,11529868,11529868,16467838,55,812992792,9780812992790.0,Adam Johnson,2012.0,The Orphan Master's Son,The Orphan Master's Son,eng,4.06,52765,63406,8316,1671,3341,9883,23007,25504,https://images.gr-assets.com/books/1327878601m/11529868.jpg,https://images.gr-assets.com/books/1327878601s/11529868.jpg,0
1464,991197,991197,13344769,60,375714839,9780375714830.0,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",2003.0,Persepolis,The Complete Persepolis,en-US,4.36,71353,77274,5335,357,1218,7821,28809,39069,https://images.gr-assets.com/books/1327876995m/991197.jpg,https://images.gr-assets.com/books/1327876995s/991197.jpg,0
1487,1848,1848,2969000,139,743246985,9780743246990.0,Jung Chang,1991.0,Wild Swans: Three Daughters of China,Wild Swans: Three Daughters of China,en-US,4.23,60193,67548,4426,921,1940,9406,23802,31479,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1586,607639,607639,1020156,88,1573226521,9781573226520.0,Alex Garland,1996.0,The Beach,The Beach,eng,3.91,52333,57583,2079,838,3254,13336,22974,17181,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1613,2195464,2195464,2475030,120,307269191,9780307269200.0,"Haruki Murakami, Philip Gabriel",2007.0,走ることについて語るときに僕の語ること [Hashiru koto ni tsuite kataru toki ni boku no kataru koto],What I Talk About When I Talk About Running,eng,3.79,49344,61740,6144,820,3864,17403,25073,14580,https://images.gr-assets.com/books/1473397159m/2195464.jpg,https://images.gr-assets.com/books/1473397159s/2195464.jpg,0
1661,6905012,6905012,7129188,40,61922315,9780061922310.0,Shilpi Somaya Gowda,2010.0,Secret Daughter,Secret Daughter,en-US,3.97,52734,58998,4904,502,2337,12696,26379,17084,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1700,15811545,15811545,21536809,58,670026638,9780670026630.0,Ruth Ozeki,2013.0,A Tale for the Time Being,A Tale for the Time Being,eng,3.98,51580,59311,8242,1325,3127,11371,23289,20199,https://images.gr-assets.com/books/1463767452m/15811545.jpg,https://images.gr-assets.com/books/1463767452s/15811545.jpg,0
1703,17799,17799,1739145,129,99448572,9780099448570.0,"Haruki Murakami, Philip Gabriel",1992.0,"国境の南、太陽の西 [Kokkyō no minami, taiyō no nishi]","South of the Border, West of the Sun",eng,3.87,47812,60117,3401,683,3284,15329,24938,15883,https://images.gr-assets.com/books/1443685506m/17799.jpg,https://images.gr-assets.com/books/1443685506s/17799.jpg,0
1714,12557,12557,1131637,66,143038109,9780143038110.0,Amy Tan,1991.0,The Kitchen God's Wife,The Kitchen God's Wife,en-US,3.98,58836,62180,1750,364,1910,14429,27340,18137,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1793,105578,105578,101770,25,345498321,9780345498330.0,Chetan Bhagat,2005.0,One Night @ The Call Center,One Night at the Call Center,eng,2.47,40718,44833,1244,10559,14125,11872,5177,3100,https://images.gr-assets.com/books/1320500924m/105578.jpg,https://images.gr-assets.com/books/1320500924s/105578.jpg,0
1888,12609,12609,14895,19,374525641,9780374525640.0,Anne Fadiman,1997.0,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",en-US,4.14,47785,49870,3873,619,1861,8093,18674,20623,https://images.gr-assets.com/books/1432610033m/12609.jpg,https://images.gr-assets.com/books/1432610033s/12609.jpg,0
1912,18467802,18467802,26127419,46,802122558,9780802122550.0,Lily King,2014.0,Euphoria,Euphoria,eng,3.84,41606,48628,5516,883,2696,11817,21056,12176,https://images.gr-assets.com/books/1418788366m/18467802.jpg,https://images.gr-assets.com/books/1418788366s/18467802.jpg,0
1915,17800,17800,2753173,101,99448769,9780099448760.0,Haruki Murakami,1988.0,"ダンス・ダンス・ダンス [Dansu, dansu, dansu]","Dance Dance Dance (The Rat, #4)",eng,4.03,41161,48885,2561,331,1753,9862,21152,15787,https://images.gr-assets.com/books/1443689019m/17800.jpg,https://images.gr-assets.com/books/1443689019s/17800.jpg,0
1943,16085481,16085481,21571970,38,385536976,9780385536970.0,Kevin Kwan,2013.0,Crazy Rich Asians,Crazy Rich Asians (Crazy Rich Asians #1),eng,3.7,46208,55387,6601,1369,4244,16017,22007,11750,https://images.gr-assets.com/books/1364852559m/16085481.jpg,https://images.gr-assets.com/books/1364852559s/16085481.jpg,0
1990,11331421,11331421,6504537,83,1590514637,9781590514630.0,"Jan-Philipp Sendker, Kevin Wiliarty",2002.0,Das Herzenhören,The Art of Hearing Heartbeats,eng,3.98,41647,50338,5650,704,2697,10330,19670,16937,https://images.gr-assets.com/books/1320437247m/11331421.jpg,https://images.gr-assets.com/books/1320437247s/11331421.jpg,0
2102,6597651,6597651,6791425,63,1597801577,9781597801580.0,Paolo Bacigalupi,2009.0,The Windup Girl,The Windup Girl,eng,3.74,41728,50059,5473,1859,4274,11680,19411,12835,https://images.gr-assets.com/books/1278940608m/6597651.jpg,https://images.gr-assets.com/books/1278940608s/6597651.jpg,0
2181,551876,551876,539116,40,312367481,9780312367480.0,"Arlene Mosel, Blair Lent",1968.0,Tikki Tikki Tembo,Tikki Tikki Tembo,en-CA,4.21,52536,53161,761,856,1890,9126,14715,26574,https://images.gr-assets.com/books/1317064300m/551876.jpg,https://images.gr-assets.com/books/1317064300s/551876.jpg,0
2284,95186,95186,563837,79,802142818,9780802142820.0,Kiran Desai,2006.0,The Inheritance of Loss,The Inheritance of Loss,eng,3.41,37967,40545,3409,1784,5351,13957,13427,6026,https://images.gr-assets.com/books/1327909065m/95186.jpg,https://images.gr-assets.com/books/1327909065s/95186.jpg,0
2305,11797365,11797365,16750147,71,670023329,9780670023320.0,Blaine Harden,2012.0,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,eng,3.99,37392,42712,4268,582,1468,9050,18139,13473,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2322,9500416,9500416,14385974,40,140006712X,9781400067120.0,Lisa See,2011.0,Dreams of Joy (Shanghai Girls #2),Dreams of Joy (Shanghai Girls #2),en-CA,4.06,43863,47087,4272,328,1478,8818,20993,15470,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2336,99944,99944,1492580,596,140449183,9780140449180.0,"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",-400.0,भगवद्गीता [Bhagavadgītā],The Bhagavad Gita,eng,4.1,33225,42094,1316,1009,2097,7686,12170,19132,https://images.gr-assets.com/books/1383059639m/99944.jpg,https://images.gr-assets.com/books/1383059639s/99944.jpg,0
2403,45195,45195,4574850,194,014144116X,9780141441160.0,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",1924.0,A Passage to India,A Passage to India,eng,3.66,46675,52900,2446,1581,4821,15168,19530,11800,https://images.gr-assets.com/books/1421883612m/45195.jpg,https://images.gr-assets.com/books/1421883612s/45195.jpg,0
2434,294963,294963,286213,28,1591162203,9781591162210.0,"Nobuhiro Watsuki, Kenichiro Yagi",1994.0,るろうに剣心 1,"Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)",eng,4.33,36765,36994,261,558,1125,4828,9531,20952,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2440,12781,12781,1434467,129,312270828,9780312270830.0,Salman Rushdie,1988.0,The Satanic Verses,The Satanic Verses,eng,3.71,37354,42878,3036,2132,3911,10161,14645,12029,https://images.gr-assets.com/books/1281988101m/12781.jpg,https://images.gr-assets.com/books/1281988101s/12781.jpg,0
2441,6178648,6178648,6358552,53,385523904,9780385523900.0,Barbara Demick,2009.0,Nothing to Envy: Ordinary Lives in North Korea,Nothing to Envy: Ordinary Lives in North Korea,eng,4.42,37284,44099,5488,318,533,3272,15958,24018,https://images.gr-assets.com/books/1320449375m/6178648.jpg,https://images.gr-assets.com/books/1320449375s/6178648.jpg,0
2451,9517,9517,6127168,29,375714669,9780375714660.0,"Marjane Satrapi, Anjali Singh",2001.0,Persepolis 2,"Persepolis 2: The Story of a Return (Persepolis, #2)",eng,4.23,45718,46982,1991,301,1157,6932,17596,20996,https://images.gr-assets.com/books/1327865598m/9517.jpg,https://images.gr-assets.com/books/1327865598s/9517.jpg,0
2462,88815,88815,725380,86,151013047,9780151013040.0,Mohsin Hamid,2007.0,The Reluctant Fundamentalist,The Reluctant Fundamentalist,eng,3.67,33879,40953,4713,768,3367,12197,16905,7716,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2520,6443834,6443834,18525442,76,4103534222,9784103534230.0,"Haruki Murakami, 村上 春樹",2009.0,1Q84 Book 1 [Ichi-kyū-hachi-yon],"1Q84 BOOK 1 (1Q84, #1)",jpn,3.96,32323,36769,1280,1325,2014,6601,13628,13201,https://images.gr-assets.com/books/1329955413m/6443834.jpg,https://images.gr-assets.com/books/1329955413s/6443834.jpg,0
2540,118944,118944,114515,20,1596431520,9781596431520.0,Gene Luen Yang,2006.0,American Born Chinese,American Born Chinese,eng,3.88,47824,49910,5799,1166,3049,11590,19020,15085,https://images.gr-assets.com/books/1317066615m/118944.jpg,https://images.gr-assets.com/books/1317066615s/118944.jpg,0
2543,7141642,7141642,7405757,67,1400065453,9781400065460.0,David Mitchell,2010.0,The Thousand Autumns of Jacob de Zoet,The Thousand Autumns of Jacob de Zoet,eng,4.03,36021,42312,5175,859,2105,7073,17293,14982,https://images.gr-assets.com/books/1320540908m/7141642.jpg,https://images.gr-assets.com/books/1320540908s/7141642.jpg,0
2585,6081685,6081685,6258392,18,1427814031,9781427814040.0,Hiro Fujiwara,2006.0,会長はメイド様! 1,"Maid-sama! Vol. 01 (Maid-sama!, #1)",eng,4.4,36028,36535,409,491,1130,4239,8017,22658,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2594,7668,7668,2045220,93,606298231,9780606298230.0,Michael Crichton,1992.0,Rising Sun,Rising Sun,eng,3.61,38179,41025,713,714,3550,14199,14925,7637,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
